-------------------------------------------------------------------------------------------,,,,,,,,,
1995,7,34895,1995.537,-7.9,-7.88,-7.91,-7.89,-7.9,-7.88
1995,8,34926,1995.6219,-7.78,-7.89,-7.79,-7.89,-7.78,-7.89
1995,9,34957,1995.7068,-7.74,-7.91,-7.72,-7.9,-7.74,-7.91
1995,10,34987,1995.789,-7.73,-7.88,-7.74,-7.9,-7.73,-7.88
1995,11,35018,1995.874,-7.8,-7.89,-7.81,-7.9,-7.8,-7.89
1995,12,35048,1995.9562,-7.86,-7.9,-7.87,-7.91,-7.86,-7.9
1996,1,35079,1996.041,-7.94,-7.93,-7.92,-7.91,-7.94,-7.93
1996,2,35110,1996.1257,-7.96,-7.92,-7.96,-7.92,-7.96,-7.92
1996,3,35139,1996.2049,-8.02,-7.94,-8.01,-7.92,-8.02,-7.94
1996,4,35170,1996.2896,-8.05,-7.9,-8.08,-7.93,-8.05,-7.9
1996,5,35200,1996.3716,-8.08,-7.91,-8.1,-7.93,-8.08,-7.91
1996,6,35231,1996.4563,-8.08,-7.97,-8.05,-7.94,-8.08,-7.97
1996,7,35261,1996.5383,-7.98,-7.97,-7.95,-7.94,-7.98,-7.97
1996,8,35292,1996.623,-7.84,-7.95,-7.84,-7.94,-7.84,-7.95
1996,9,35323,1996.7077,-7.76,-7.93,-7.77,-7.94,-7.76,-7.93
1996,10,35353,1996.7896,-7.78,-7.93,-7.78,-7.94,-7.78,-7.93
1996,11,35384,1996.8743,-7.85,-7.94,-7.85,-7.94,-7.85,-7.94
1996,12,35414,1996.9563,-7.9,-7.94,-7.91,-7.94,-7.9,-7.94
1997,1,35445,1997.0411,-7.94,-7.94,-7.95,-7.95,-7.94,-7.94
1997,2,35476,1997.126,-8,-7.96,-7.99,-7.95,-8,-7.96
1997,3,35504,1997.2027,-8.05,-7.96,-8.04,-7.95,-8.05,-7.96
1997,4,35535,1997.2877,-8.1,-7.95,-8.1,-7.95,-8.1,-7.95
1997,5,35565,1997.3699,-8.13,-7.96,-8.11,-7.95,-8.13,-7.96
1997,6,35596,1997.4548,-8.05,-7.93,-8.06,-7.95,-8.05,-7.93
1997,7,35626,1997.537,-7.97,-7.95,-7.96,-7.95,-7.97,-7.95
1997,8,35657,1997.6219,-7.86,-7.96,-7.85,-7.95,-7.86,-7.96
1997,9,35688,1997.7068,-7.78,-7.96,-7.78,-7.95,-7.78,-7.96
1997,10,35718,1997.789,-7.75,-7.91,-7.8,-7.96,-7.75,-7.91
1997,11,35749,1997.874,-7.86,-7.95,-7.87,-7.96,-7.86,-7.95
1997,12,35779,1997.9562,-7.94,-7.98,-7.93,-7.97,-7.94,-7.98
1998,1,35810,1998.0411,-8.01,-8,-7.98,-7.98,-8.01,-8
1998,2,35841,1998.126,-8.02,-7.98,-8.04,-8,-8.02,-7.98
1998,3,35869,1998.2027,-8.08,-7.99,-8.1,-8.01,-8.08,-7.99
1998,4,35900,1998.2877,-8.16,-8.02,-8.17,-8.02,-8.16,-8.02
1998,5,35930,1998.3699,-8.19,-8.02,-8.2,-8.04,-8.19,-8.02
1998,6,35961,1998.4548,-8.2,-8.08,-8.17,-8.05,-8.2,-8.08
1998,7,35991,1998.537,-8.1,-8.09,-8.08,-8.06,-8.1,-8.09
1998,8,36022,1998.6219,-7.97,-8.07,-7.97,-8.07,-7.97,-8.07
1998,9,36053,1998.7068,-7.92,-8.09,-7.9,-8.07,-7.92,-8.09
1998,10,36083,1998.789,-7.9,-8.06,-7.92,-8.07,-7.9,-8.06
1998,11,36114,1998.874,-7.96,-8.05,-7.98,-8.07,-7.96,-8.05
1998,12,36144,1998.9562,-8.07,-8.1,-8.03,-8.07,-8.07,-8.1
1999,1,36175,1999.0411,-8.06,-8.06,-8.06,-8.06,-8.06,-8.06
1999,2,36206,1999.126,-8.07,-8.03,-8.09,-8.05,-8.07,-8.03
1999,3,36234,1999.2027,-8.15,-8.06,-8.13,-8.04,-8.15,-8.06
1999,4,36265,1999.2877,-8.17,-8.03,-8.18,-8.04,-8.17,-8.03
1999,5,36295,1999.3699,-8.17,-8.01,-8.2,-8.03,-8.17,-8.01
1999,6,36326,1999.4548,-8.14,-8.02,-8.14,-8.03,-8.14,-8.02
1999,7,36356,1999.537,-8.06,-8.05,-8.04,-8.03,-8.06,-8.05
1999,8,36387,1999.6219,-7.95,-8.05,-7.92,-8.03,-7.95,-8.05
1999,9,36418,1999.7068,-7.82,-8,-7.85,-8.03,-7.82,-8
1999,10,36448,1999.789,-7.86,-8.02,-7.87,-8.03,-7.86,-8.02
1999,11,36479,1999.874,-7.94,-8.03,-7.94,-8.03,-7.94,-8.03
1999,12,36509,1999.9562,-8.01,-8.05,-8,-8.04,-8.01,-8.05
2000,1,36540,2000.041,-8.08,-8.08,-8.04,-8.04,-8.08,-8.08
2000,2,36571,2000.1257,-8.07,-8.03,-8.08,-8.04,-8.07,-8.03
2000,3,36600,2000.2049,-8.13,-8.04,-8.13,-8.04,-8.13,-8.04
2000,4,36631,2000.2896,-8.2,-8.06,-8.19,-8.04,-8.2,-8.06
2000,5,36661,2000.3716,-8.16,-8,-8.21,-8.04,-8.16,-8
2000,6,36692,2000.4563,-8.14,-8.03,-8.16,-8.05,-8.14,-8.03
2000,7,36722,2000.5383,-8.06,-8.05,-8.07,-8.05,-8.06,-8.05
2000,8,36753,2000.623,-7.98,-8.09,-7.95,-8.06,-7.98,-8.09
2000,9,36784,2000.7077,-7.89,-8.07,-7.89,-8.06,-7.89,-8.07
2000,10,36814,2000.7896,-7.92,-8.08,-7.91,-8.07,-7.92,-8.08
2000,11,36845,2000.8743,-7.97,-8.06,-7.98,-8.07,-7.97,-8.06
2000,12,36875,2000.9563,-8.04,-8.07,-8.03,-8.07,-8.04,-8.07
2001,1,36906,2001.0411,-8.06,-8.06,-8.07,-8.07,-8.06,-8.06
2001,2,36937,2001.126,-8.1,-8.06,-8.11,-8.07,-8.1,-8.06
2001,3,36965,2001.2027,-8.16,-8.07,-8.15,-8.07,-8.16,-8.07
2001,4,36996,2001.2877,-8.23,-8.08,-8.21,-8.06,-8.23,-8.08
2001,5,37026,2001.3699,-8.22,-8.06,-8.23,-8.06,-8.22,-8.06
2001,6,37057,2001.4548,-8.17,-8.06,-8.18,-8.06,-8.17,-8.06
2001,7,37087,2001.537,-8.05,-8.04,-8.08,-8.07,-8.05,-8.04
2001,8,37118,2001.6219,-7.96,-8.07,-7.97,-8.07,-7.96,-8.07
2001,9,37149,2001.7068,-7.9,-8.08,-7.9,-8.07,-7.9,-8.08
2001,10,37179,2001.789,-7.92,-8.08,-7.92,-8.07,-7.92,-8.08
2001,11,37210,2001.874,-7.99,-8.09,-7.98,-8.08,-7.99,-8.09
2001,12,37240,2001.9562,-8.07,-8.1,-8.04,-8.08,-8.07,-8.1
2002,1,37271,2002.0411,-8.07,-8.07,-8.08,-8.08,-8.07,-8.07
2002,2,37302,2002.126,-8.09,-8.05,-8.12,-8.07,-8.09,-8.05
2002,3,37330,2002.2027,-8.17,-8.09,-8.16,-8.07,-8.17,-8.09
2002,4,37361,2002.2877,-8.18,-8.04,-8.22,-8.08,-8.18,-8.04
2002,5,37391,2002.3699,-8.25,-8.09,-8.25,-8.08,-8.25,-8.09
